Hypothesis File: output_preprocessing.tgt_after_adding_sentence_id
Reference File: post_edition_after_tokenizing_lowercasing.tgt_after_adding_sentence_id
Ave-Reference File: 
            Sent Id |  Ins |  Del |  Sub | Shft | WdSh |  NumEr |  AvNumWd |      TER
-------------------------------------------------------------------------------------
  (id_TEST_WMT_1):0 |    0 |    0 |    0 |    0 |    0 |    0.0 |    5.000 |    0.000
  (id_TEST_WMT_2):0 |    0 |    0 |    0 |    1 |    1 |    1.0 |    9.000 |   11.111
  (id_TEST_WMT_3):0 |    0 |    1 |    5 |    0 |    0 |    6.0 |   14.000 |   42.857
  (id_TEST_WMT_4):0 |    2 |    0 |    1 |    0 |    0 |    3.0 |   20.000 |   15.000
  (id_TEST_WMT_5):0 |    0 |    4 |    9 |    0 |    0 |   13.0 |   37.000 |   35.135
  (id_TEST_WMT_6):0 |    1 |    0 |    1 |    0 |    0 |    2.0 |    6.000 |   33.333
  (id_TEST_WMT_7):0 |    0 |    0 |    3 |    1 |    1 |    4.0 |   26.000 |   15.385
  (id_TEST_WMT_8):0 |    1 |    1 |    1 |    0 |    0 |    3.0 |   10.000 |   30.000
  (id_TEST_WMT_9):0 |    0 |    1 |    4 |    1 |    1 |    6.0 |   37.000 |   16.216
 (id_TEST_WMT_10):0 |    2 |    3 |    8 |    4 |    4 |   17.0 |   34.000 |   50.000
 (id_TEST_WMT_11):0 |    1 |    0 |    4 |    1 |    1 |    6.0 |   16.000 |   37.500
 (id_TEST_WMT_12):0 |    1 |    0 |    3 |    0 |    0 |    4.0 |    6.000 |   66.667
 (id_TEST_WMT_13):0 |    1 |    0 |    0 |    0 |    0 |    1.0 |   31.000 |    3.226
 (id_TEST_WMT_14):0 |    5 |    0 |    2 |    0 |    0 |    7.0 |   24.000 |   29.167
 (id_TEST_WMT_15):0 |    0 |    0 |    4 |    0 |    0 |    4.0 |   24.000 |   16.667
 (id_TEST_WMT_16):0 |    2 |    1 |    4 |    2 |    4 |    9.0 |   23.000 |   39.130
 (id_TEST_WMT_17):0 |    2 |    0 |    5 |    0 |    0 |    7.0 |   13.000 |   53.846
 (id_TEST_WMT_18):0 |    0 |    0 |    0 |    0 |    0 |    0.0 |   10.000 |    0.000
 (id_TEST_WMT_19):0 |    4 |    1 |   13 |    4 |    4 |   22.0 |   63.000 |   34.921
 (id_TEST_WMT_20):0 |    0 |    1 |    7 |    0 |    0 |    8.0 |   16.000 |   50.000
 (id_TEST_WMT_21):0 |    2 |    0 |    3 |    0 |    0 |    5.0 |   13.000 |   38.462
 (id_TEST_WMT_22):0 |    1 |    1 |    3 |    0 |    0 |    5.0 |   29.000 |   17.241
 (id_TEST_WMT_23):0 |    1 |    3 |    4 |    2 |    2 |   10.0 |   25.000 |   40.000
 (id_TEST_WMT_24):0 |    3 |    2 |    4 |    0 |    0 |    9.0 |   37.000 |   24.324
 (id_TEST_WMT_25):0 |    2 |    1 |    0 |    0 |    0 |    3.0 |   23.000 |   13.043
 (id_TEST_WMT_26):0 |    0 |    3 |    3 |    1 |    1 |    7.0 |   12.000 |   58.333
 (id_TEST_WMT_27):0 |    1 |    1 |    1 |    0 |    0 |    3.0 |    6.000 |   50.000
 (id_TEST_WMT_28):0 |    1 |    0 |    3 |    0 |    0 |    4.0 |   23.000 |   17.391
 (id_TEST_WMT_29):0 |    0 |    1 |    3 |    0 |    0 |    4.0 |   28.000 |   14.286
 (id_TEST_WMT_30):0 |    2 |    0 |    0 |    0 |    0 |    2.0 |   14.000 |   14.286
